datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),dewpoint_temperature (degC),relative_humidity (0-1),heating_degreeday (degC-Day),wind_speed (m/s),wind_direction (deg),total_cloud_cover (0-1),total_precipitation (mm of water equivalent)
2023-11-01 00:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,26.36,23.90,0.86,0.00,3.67,35.38,0.81,0.62
2023-11-01 01:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,26.16,24.06,0.88,0.00,4.24,40.98,0.66,0.93
2023-11-01 02:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,26.40,24.42,0.89,0.00,4.64,46.82,0.60,1.78
2023-11-01 03:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,26.67,23.71,0.84,0.00,5.52,46.34,0.57,3.42
2023-11-01 04:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,26.52,24.36,0.88,0.00,5.08,42.90,0.71,1.91
2023-11-01 05:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,26.45,24.07,0.87,0.00,4.67,41.65,0.73,1.66
2023-11-01 06:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,26.74,24.21,0.86,0.00,4.36,39.59,0.90,1.08
2023-11-01 07:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,26.27,24.08,0.88,0.00,4.21,35.39,0.92,0.40
2023-11-01 08:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,26.00,24.10,0.89,0.00,4.26,34.76,0.92,0.39
2023-11-01 09:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,26.36,24.21,0.88,0.00,4.03,29.92,0.96,1.32
2023-11-01 10:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.90,24.19,0.90,0.00,3.49,26.62,0.94,1.19
2023-11-01 11:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.91,24.23,0.90,0.00,3.07,30.15,0.97,1.04
2023-11-01 12:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,26.03,24.30,0.90,0.00,2.75,32.77,1.00,0.60
2023-11-01 13:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.71,24.15,0.91,0.00,3.30,40.82,0.99,1.03
2023-11-01 14:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.47,24.12,0.92,0.00,3.07,46.21,1.00,0.66
2023-11-01 15:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.34,23.99,0.92,0.00,2.92,47.45,1.00,0.82
2023-11-01 16:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.42,24.10,0.92,0.00,3.31,55.00,1.00,1.11
2023-11-01 17:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.36,24.02,0.92,0.00,3.14,49.02,1.00,1.17
2023-11-01 18:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.18,23.85,0.92,0.00,2.90,51.41,0.99,0.88
2023-11-01 19:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,24.97,23.85,0.94,0.00,2.48,43.73,1.00,0.77
2023-11-01 20:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,24.89,23.84,0.94,0.00,2.38,37.34,1.00,1.06
2023-11-01 21:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,24.99,23.62,0.92,0.00,2.37,29.22,0.99,0.49
2023-11-01 22:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.36,23.91,0.92,0.00,2.44,23.49,0.97,0.31
2023-11-01 23:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.40,23.71,0.90,0.00,2.54,14.45,0.95,0.49
2023-11-02 00:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.61,23.73,0.89,0.00,2.42,9.92,0.61,0.42
2023-11-02 01:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.60,23.85,0.90,0.00,2.36,13.40,0.65,0.46
2023-11-02 02:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,26.58,24.29,0.87,0.00,2.19,18.74,0.67,0.42
2023-11-02 03:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,26.77,24.12,0.85,0.00,2.53,34.29,0.64,0.37
2023-11-02 04:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,27.02,24.04,0.84,0.00,3.20,38.99,0.66,0.38
2023-11-02 05:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,27.04,23.82,0.83,0.00,2.91,46.57,0.79,0.40
2023-11-02 06:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,27.18,23.82,0.82,0.00,3.17,48.53,0.71,0.25
2023-11-02 07:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,27.16,23.51,0.80,0.00,2.62,48.35,0.87,0.43
2023-11-02 08:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,26.52,23.63,0.84,0.00,3.00,53.74,0.72,0.46
2023-11-02 09:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,26.40,23.86,0.86,0.00,2.70,55.27,0.79,0.54
2023-11-02 10:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.81,23.82,0.89,0.00,2.16,42.63,0.65,0.36
2023-11-02 11:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.82,24.10,0.90,0.00,2.11,54.57,0.68,0.15
2023-11-02 12:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.62,23.90,0.90,0.00,2.02,62.37,0.81,0.26
2023-11-02 13:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.56,23.82,0.90,0.00,1.16,56.81,0.93,0.38
2023-11-02 14:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.54,23.82,0.90,0.00,0.29,85.95,0.95,0.16
2023-11-02 15:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.46,23.77,0.90,0.00,0.22,183.66,0.97,0.04
2023-11-02 16:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.44,23.76,0.90,0.00,0.78,218.96,0.96,0.09
2023-11-02 17:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.35,23.81,0.91,0.00,0.72,210.68,0.98,0.06
2023-11-02 18:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.32,23.73,0.91,0.00,0.45,217.46,0.91,0.07
2023-11-02 19:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.32,23.73,0.91,0.00,0.43,253.10,0.99,0.07
2023-11-02 20:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.25,23.75,0.91,0.00,0.62,267.80,0.98,0.02
2023-11-02 21:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.31,23.75,0.91,0.00,0.87,273.31,0.93,0.00
2023-11-02 22:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.46,23.58,0.89,0.00,1.07,291.42,0.94,0.00
2023-11-02 23:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,25.53,23.69,0.90,0.00,1.33,308.40,0.47,0.00
2023-11-03 00:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,26.28,23.91,0.87,0.00,0.99,313.93,0.27,0.00
2023-11-03 01:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,26.52,23.65,0.84,0.00,0.49,339.22,0.18,0.00
2023-11-03 02:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,27.55,23.58,0.79,0.00,0.80,57.83,0.34,0.02
2023-11-03 03:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,27.70,23.66,0.79,0.00,1.31,61.90,0.51,0.07
2023-11-03 04:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,27.68,23.76,0.79,0.00,1.73,58.65,0.58,0.08
2023-11-03 05:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,28.21,23.88,0.77,0.00,2.18,56.66,0.33,0.06
2023-11-03 06:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,28.33,24.16,0.78,0.00,2.47,53.92,0.37,0.03
2023-11-03 07:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,28.39,24.37,0.79,0.00,2.89,55.00,0.51,0.05
2023-11-03 08:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,28.30,24.48,0.80,0.00,3.33,58.59,0.37,0.03
2023-11-03 09:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,28.20,24.50,0.80,0.00,3.42,61.57,0.23,0.02
2023-11-03 10:00:00,"(16.056711, 108.248321)",era5,58.97,7.00,27.28,24.22,0.83,0.00,3.03,60.43,0.13,0.03
