datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),dewpoint_temperature (degC),relative_humidity (0-1),heating_degreeday (degC-Day),wind_speed (m/s),wind_direction (deg),total_cloud_cover (0-1),total_precipitation (mm of water equivalent)
2023-11-01 00:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,23.57,21.20,0.87,0.00,2.34,30.55,0.25,0.01
2023-11-01 01:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,23.81,20.95,0.84,0.00,2.40,34.59,0.35,0.01
2023-11-01 02:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,26.20,20.29,0.70,0.00,2.74,41.87,0.34,0.01
2023-11-01 03:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,27.32,20.65,0.67,0.00,2.58,38.61,0.35,0.01
2023-11-01 04:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,27.75,20.74,0.66,0.00,2.38,35.65,0.31,0.02
2023-11-01 05:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,29.19,19.78,0.57,0.00,1.96,44.95,0.19,0.02
2023-11-01 06:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,29.29,19.62,0.56,0.00,1.68,72.04,0.38,0.02
2023-11-01 07:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,29.13,19.63,0.57,0.00,1.93,107.81,0.43,0.00
2023-11-01 08:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,28.30,20.23,0.62,0.00,2.72,123.14,0.64,0.03
2023-11-01 09:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,27.78,20.68,0.65,0.00,3.29,127.98,0.56,0.04
2023-11-01 10:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,25.53,20.73,0.75,0.00,3.25,130.68,0.40,0.01
2023-11-01 11:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,25.60,20.97,0.76,0.00,2.91,125.27,0.26,0.00
2023-11-01 12:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,25.51,20.88,0.76,0.00,2.32,116.06,0.16,0.00
2023-11-01 13:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,25.05,20.78,0.77,0.00,2.04,108.71,0.09,0.00
2023-11-01 14:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,24.13,20.80,0.82,0.00,2.17,100.04,0.05,0.00
2023-11-01 15:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,23.56,20.76,0.84,0.00,2.20,92.38,0.01,0.00
2023-11-01 16:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,23.60,20.71,0.84,0.00,2.16,97.78,0.05,0.00
2023-11-01 17:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,23.08,20.64,0.86,0.00,2.08,89.21,0.16,0.00
2023-11-01 18:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,22.96,20.59,0.87,0.00,1.90,85.87,0.20,0.00
2023-11-01 19:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,23.04,20.64,0.86,0.00,1.66,72.58,0.23,0.00
2023-11-01 20:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,22.85,20.72,0.88,0.00,1.48,57.75,0.29,0.00
2023-11-01 21:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,22.71,20.65,0.88,0.00,1.40,49.50,0.44,0.00
2023-11-01 22:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,22.77,21.01,0.90,0.00,1.41,46.07,0.49,0.00
2023-11-01 23:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,22.60,20.89,0.90,0.00,1.45,40.70,0.60,0.00
2023-11-02 00:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,23.23,20.98,0.87,0.00,1.69,34.88,0.70,0.00
2023-11-02 01:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,23.81,20.97,0.84,0.00,1.51,50.77,0.77,0.00
2023-11-02 02:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,26.76,21.30,0.72,0.00,1.50,82.99,0.81,0.00
2023-11-02 03:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,27.77,21.25,0.68,0.00,1.30,109.35,0.70,0.00
2023-11-02 04:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,27.91,21.14,0.67,0.00,1.30,127.29,0.67,0.00
2023-11-02 05:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,29.22,20.56,0.60,0.00,1.67,141.82,0.53,0.00
2023-11-02 06:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,29.26,20.48,0.59,0.00,2.27,147.21,0.62,0.00
2023-11-02 07:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,28.91,20.95,0.62,0.00,2.62,147.98,0.63,0.00
2023-11-02 08:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,28.02,21.56,0.68,0.00,2.78,142.36,0.46,0.00
2023-11-02 09:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,28.06,21.26,0.67,0.00,2.81,134.69,0.16,0.00
2023-11-02 10:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,26.19,22.08,0.78,0.00,2.87,130.12,0.14,0.00
2023-11-02 11:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,26.01,22.53,0.81,0.00,2.66,125.26,0.10,0.00
2023-11-02 12:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,25.95,22.91,0.83,0.00,2.04,117.87,0.03,0.00
2023-11-02 13:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,25.74,23.16,0.86,0.00,1.93,113.17,0.04,0.00
2023-11-02 14:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,25.19,23.20,0.89,0.00,2.05,113.55,0.07,0.01
2023-11-02 15:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,24.98,23.37,0.91,0.00,2.22,114.25,0.08,0.01
2023-11-02 16:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,25.06,23.37,0.90,0.00,2.37,118.40,0.09,0.01
2023-11-02 17:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,24.77,23.27,0.91,0.00,2.38,116.45,0.21,0.01
2023-11-02 18:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,24.95,23.34,0.91,0.00,2.12,114.58,0.16,0.00
2023-11-02 19:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,24.88,23.27,0.91,0.00,1.77,113.46,0.46,0.00
2023-11-02 20:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,24.67,23.19,0.91,0.00,1.61,106.81,0.57,0.00
2023-11-02 21:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,24.56,23.18,0.92,0.00,1.44,96.51,0.49,0.00
2023-11-02 22:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,25.02,23.46,0.91,0.00,1.35,90.45,0.70,0.00
2023-11-02 23:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,25.04,23.44,0.91,0.00,1.34,97.67,0.69,0.00
2023-11-03 00:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,25.36,23.50,0.89,0.00,1.25,92.76,0.55,0.00
2023-11-03 01:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,25.56,23.45,0.88,0.00,1.51,122.52,0.28,0.03
2023-11-03 02:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,27.58,23.43,0.78,0.00,1.99,146.21,0.20,0.03
2023-11-03 03:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,28.20,23.51,0.76,0.00,2.57,162.21,0.27,0.14
2023-11-03 04:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,28.35,23.47,0.75,0.00,3.02,167.45,0.33,0.10
2023-11-03 05:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,29.55,23.43,0.70,0.00,3.35,168.91,0.31,0.11
2023-11-03 06:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,29.51,23.38,0.70,0.00,3.57,167.32,0.32,0.08
2023-11-03 07:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,29.44,23.46,0.70,0.00,3.75,162.56,0.23,0.05
2023-11-03 08:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,28.85,23.64,0.73,0.00,3.73,157.28,0.30,0.02
2023-11-03 09:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,28.65,23.41,0.73,0.00,3.44,150.31,0.25,0.01
2023-11-03 10:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,26.87,23.99,0.84,0.00,2.88,151.82,0.18,0.01
2023-11-03 11:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,26.72,24.32,0.87,0.00,2.90,144.06,0.15,0.00
2023-11-03 12:00:00,"(20.852718, 106.679853)",era5,24.17,7.00,26.69,24.33,0.87,0.00,2.91,139.69,0.09,0.00
