type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,departure.terminal,departure.delay,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay,departure.gate,error
arrival,unknown,ajn,fmcv,2023-11-01t07:30:00.000,hah,fmch,2023-11-01t08:30:00.000,empty,,,504,,,,,,,,,,,,,,,,,,,,,
arrival,unknown,dza,fmcz,2023-11-01t10:15:00.000,hah,fmch,2023-11-01t11:15:00.000,air austral,uu,reu,7402,uu7402,reu7402,ewa air,zd,ewr,302,zd302,ewr302,,,,,,,,,,,,,
arrival,unknown,dza,fmcz,2023-11-01t10:15:00.000,hah,fmch,2023-11-01t11:15:00.000,ewa air,zd,ewr,302,zd302,ewr302,,,,,,,,,,,,,,,,,,,
arrival,unknown,nwa,fmci,2023-11-01t12:20:00.000,hah,fmch,2023-11-01t12:45:00.000,empty,,,311,,,,,,,,,,,,,,,,,,,,,
arrival,landed,nbo,hkjk,2023-11-01t10:30:00.000,hah,fmch,2023-11-01t13:00:00.000,klm,kl,klm,4210,kl4210,klm4210,kenya airways,kq,kqa,264,kq264,kqa264,1a,2.0,2023-11-01t10:30:00.000,2023-11-01t10:32:00.000,2023-11-01t10:32:00.000,2023-11-01t10:32:00.000,2023-11-01t12:23:00.000,2023-11-01t12:28:00.000,2023-11-01t12:28:00.000,2023-11-01t12:28:00.000,,,
arrival,landed,nbo,hkjk,2023-11-01t10:30:00.000,hah,fmch,2023-11-01t13:00:00.000,air france,af,afr,8075,af8075,afr8075,kenya airways,kq,kqa,264,kq264,kqa264,1a,2.0,2023-11-01t10:30:00.000,2023-11-01t10:32:00.000,2023-11-01t10:32:00.000,2023-11-01t10:32:00.000,2023-11-01t12:23:00.000,2023-11-01t12:28:00.000,2023-11-01t12:28:00.000,2023-11-01t12:28:00.000,,,
arrival,landed,nbo,hkjk,2023-11-01t10:30:00.000,hah,fmch,2023-11-01t13:00:00.000,kenya airways,kq,kqa,264,kq264,kqa264,,,,,,,1a,2.0,2023-11-01t10:30:00.000,2023-11-01t10:32:00.000,2023-11-01t10:32:00.000,2023-11-01t10:32:00.000,2023-11-01t12:23:00.000,2023-11-01t12:28:00.000,2023-11-01t12:28:00.000,2023-11-01t12:28:00.000,,,
arrival,landed,dza,fmcz,2023-11-01t12:15:00.000,hah,fmch,2023-11-01t13:00:00.000,air france,af,afr,3253,af3253,afr3253,air austral,uu,reu,274,uu274,reu274,,36.0,,2023-11-01t12:50:00.000,2023-11-01t12:50:00.000,2023-11-01t12:50:00.000,,2023-11-01t13:30:00.000,2023-11-01t13:30:00.000,2023-11-01t13:30:00.000,31.0,,
arrival,landed,dza,fmcz,2023-11-01t12:15:00.000,hah,fmch,2023-11-01t13:00:00.000,air austral,uu,reu,274,uu274,reu274,,,,,,,,36.0,,2023-11-01t12:50:00.000,2023-11-01t12:50:00.000,2023-11-01t12:50:00.000,,2023-11-01t13:30:00.000,2023-11-01t13:30:00.000,2023-11-01t13:30:00.000,31.0,,
arrival,landed,dar,htda,2023-11-01t13:25:00.000,hah,fmch,2023-11-01t14:45:00.000,ethiopian airlines,et,eth,865,et865,eth865,,,,,,,3,2.0,,2023-11-01t13:27:00.000,2023-11-01t13:27:00.000,2023-11-01t13:27:00.000,2023-11-01t14:31:00.000,2023-11-01t14:34:00.000,2023-11-01t14:34:00.000,2023-11-01t14:34:00.000,,c5,
arrival,unknown,ajn,fmcv,2023-11-01t15:30:00.000,hah,fmch,2023-11-01t16:00:00.000,empty,,,508,,,,,,,,,,,,,,,,,,,,,
