type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.estimatedTime,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,departure.estimatedTime,arrival.terminal,departure.delay,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay,departure.terminal,departure.gate,error
departure,active,hah,fmch,2023-11-01t08:30:00.000,ajn,fmcv,2023-11-01t09:00:00.000,empty,,,505,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-01t12:30:00.000,dza,fmcz,2023-11-01t13:30:00.000,air austral,uu,reu,7403,uu7403,reu7403,2023-11-01t12:15:00.000,2023-11-01t12:15:00.000,2023-11-01t12:15:00.000,2023-11-01t12:57:00.000,ewa air,zd,ewr,303,zd303,ewr303,,,,,,,,,,
departure,active,hah,fmch,2023-11-01t12:30:00.000,dza,fmcz,2023-11-01t13:30:00.000,ewa air,zd,ewr,303,zd303,ewr303,2023-11-01t12:15:00.000,2023-11-01t12:15:00.000,2023-11-01t12:15:00.000,2023-11-01t12:57:00.000,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-01t13:15:00.000,nwa,fmci,2023-11-01t13:40:00.000,empty,,,312,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-01t14:00:00.000,nbo,hkjk,2023-11-01t16:10:00.000,klm,kl,klm,4211,kl4211,klm4211,2023-11-01t13:38:00.000,2023-11-01t13:38:00.000,2023-11-01t13:38:00.000,2023-11-01t15:28:00.000,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-01t14:00:00.000,1a,,,,,,,,
departure,active,hah,fmch,2023-11-01t14:00:00.000,nbo,hkjk,2023-11-01t16:10:00.000,air france,af,afr,8082,af8082,afr8082,2023-11-01t13:38:00.000,2023-11-01t13:38:00.000,2023-11-01t13:38:00.000,2023-11-01t15:28:00.000,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-01t14:00:00.000,1a,,,,,,,,
departure,active,hah,fmch,2023-11-01t14:00:00.000,nbo,hkjk,2023-11-01t16:10:00.000,etihad airways,ey,etd,4100,ey4100,etd4100,2023-11-01t13:38:00.000,2023-11-01t13:38:00.000,2023-11-01t13:38:00.000,2023-11-01t15:28:00.000,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-01t14:00:00.000,1a,,,,,,,,
departure,active,hah,fmch,2023-11-01t14:00:00.000,nbo,hkjk,2023-11-01t16:10:00.000,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-01t13:38:00.000,2023-11-01t13:38:00.000,2023-11-01t13:38:00.000,2023-11-01t15:28:00.000,,,,,,,2023-11-01t14:00:00.000,1a,,,,,,,,
departure,active,hah,fmch,2023-11-01t14:25:00.000,dza,fmcz,2023-11-01t15:10:00.000,air france,af,afr,3259,af3259,afr3259,,,,,air austral,uu,reu,275,uu275,reu275,,,,,,,,,,
departure,active,hah,fmch,2023-11-01t14:25:00.000,dza,fmcz,2023-11-01t15:10:00.000,air austral,uu,reu,275,uu275,reu275,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-01t15:45:00.000,dar,htda,2023-11-01t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,2023-11-01t15:50:00.000,2023-11-01t15:50:00.000,2023-11-01t15:50:00.000,2023-11-01t16:52:00.000,,,,,,,,3,5.0,,,,,,,
departure,active,hah,fmch,2023-11-01t16:30:00.000,ajn,fmcv,2023-11-01t17:00:00.000,empty,,,509,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-02t08:30:00.000,ajn,fmcv,2023-11-02t09:00:00.000,empty,,,505,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-02t12:35:00.000,dar,htda,2023-11-02t14:25:00.000,,h1,h1,3688,h13688,h13688,,,,,air tanzania,tc,atc,211,tc211,atc211,,2,,,,,,,,
departure,active,hah,fmch,2023-11-02t12:35:00.000,dar,htda,2023-11-02t14:25:00.000,air tanzania,tc,atc,211,tc211,atc211,,,,,,,,,,,,2,,,,,,,,
departure,active,hah,fmch,2023-11-02t15:45:00.000,dar,htda,2023-11-02t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,2023-11-02t15:55:00.000,2023-11-02t15:55:00.000,2023-11-02t15:55:00.000,2023-11-02t16:57:00.000,,,,,,,,3,10.0,,,,,,,
departure,active,hah,fmch,2023-11-02t16:00:00.000,dza,fmcz,2023-11-02t17:00:00.000,air austral,uu,reu,7403,uu7403,reu7403,,,,,ewa air,zd,ewr,303,zd303,ewr303,,,,,,,,,,
departure,active,hah,fmch,2023-11-02t16:00:00.000,dza,fmcz,2023-11-02t17:00:00.000,ewa air,zd,ewr,303,zd303,ewr303,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-03t07:35:00.000,cai,heca,2023-11-03t13:35:00.000,etihad airways,ey,etd,4954,ey4954,etd4954,,,,,egyptair,ms,msr,841,ms841,msr841,,3,,,,,,,,
departure,active,hah,fmch,2023-11-03t07:35:00.000,cai,heca,2023-11-03t13:35:00.000,egyptair,ms,msr,841,ms841,msr841,,,,,,,,,,,,3,,,,,,,,
departure,active,hah,fmch,2023-11-03t08:30:00.000,ajn,fmcv,2023-11-03t09:00:00.000,empty,,,505,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-03t13:15:00.000,nwa,fmci,2023-11-03t13:40:00.000,empty,,,312,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-03t14:00:00.000,nbo,hkjk,2023-11-03t16:10:00.000,air france,af,afr,8082,af8082,afr8082,2023-11-03t13:37:00.000,2023-11-03t13:37:00.000,2023-11-03t13:37:00.000,2023-11-03t15:30:00.000,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-03t14:00:00.000,1a,,,,,,,,
departure,active,hah,fmch,2023-11-03t14:00:00.000,nbo,hkjk,2023-11-03t16:10:00.000,klm,kl,klm,4211,kl4211,klm4211,2023-11-03t13:37:00.000,2023-11-03t13:37:00.000,2023-11-03t13:37:00.000,2023-11-03t15:30:00.000,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-03t14:00:00.000,1a,,,,,,,,
departure,active,hah,fmch,2023-11-03t14:00:00.000,nbo,hkjk,2023-11-03t16:10:00.000,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-03t13:37:00.000,2023-11-03t13:37:00.000,2023-11-03t13:37:00.000,2023-11-03t15:30:00.000,,,,,,,2023-11-03t14:00:00.000,1a,,,,,,,,
departure,active,hah,fmch,2023-11-03t15:45:00.000,dar,htda,2023-11-03t17:05:00.000,ethiopian airlines,et,eth,864,et864,eth864,2023-11-03t15:48:00.000,2023-11-03t15:48:00.000,2023-11-03t15:48:00.000,2023-11-03t16:52:00.000,,,,,,,,3,4.0,,,,,,,
departure,active,hah,fmch,2023-11-03t16:00:00.000,dza,fmcz,2023-11-03t17:00:00.000,air austral,uu,reu,7403,uu7403,reu7403,2023-11-03t15:12:00.000,2023-11-03t15:12:00.000,2023-11-03t15:12:00.000,,ewa air,zd,ewr,303,zd303,ewr303,2023-11-03t16:00:00.000,,,2023-11-03t15:55:00.000,2023-11-03t15:55:00.000,2023-11-03t15:55:00.000,,,,
departure,active,hah,fmch,2023-11-03t16:00:00.000,dza,fmcz,2023-11-03t17:00:00.000,ewa air,zd,ewr,303,zd303,ewr303,2023-11-03t15:12:00.000,2023-11-03t15:12:00.000,2023-11-03t15:12:00.000,,,,,,,,2023-11-03t16:00:00.000,,,2023-11-03t15:55:00.000,2023-11-03t15:55:00.000,2023-11-03t15:55:00.000,,,,
departure,active,hah,fmch,2023-11-03t16:30:00.000,ajn,fmcv,2023-11-03t17:00:00.000,empty,,,509,,,,,,,,,,,,,,,,,,,,,,
departure,unknown,hah,fmch,2023-11-04t10:00:00.000,nwa,fmci,2023-11-04t10:25:00.000,empty,,,521,,,,,,,,,,,,,,,,,,,,,,
departure,active,hah,fmch,2023-11-04t13:10:00.000,dar,htda,2023-11-04t14:25:00.000,,h1,h1,3688,h13688,h13688,2023-11-04t13:21:00.000,2023-11-04t13:21:00.000,2023-11-04t13:21:00.000,2023-11-04t14:24:00.000,air tanzania,tc,atc,211,tc211,atc211,,2,11.0,,,,,,,
departure,active,hah,fmch,2023-11-04t13:10:00.000,dar,htda,2023-11-04t14:25:00.000,air tanzania,tc,atc,211,tc211,atc211,2023-11-04t13:21:00.000,2023-11-04t13:21:00.000,2023-11-04t13:21:00.000,2023-11-04t14:24:00.000,,,,,,,,2,11.0,,,,,,,
departure,active,hah,fmch,2023-11-04t14:00:00.000,nbo,hkjk,2023-11-04t16:10:00.000,klm,kl,klm,4211,kl4211,klm4211,,,,,kenya airways,kq,kqa,265,kq265,kqa265,2023-11-04t15:10:00.000,1a,70.0,,,,,,,
