datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),dewpoint_temperature (degC),relative_humidity (0-1),heating_degreeday (degC-Day),wind_speed (m/s),wind_direction (deg),total_cloud_cover (0-1),total_precipitation (mm of water equivalent)
2023-11-01 00:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,22.90,21.24,0.90,0.00,1.32,3.37,0.73,0.00
2023-11-01 01:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,22.61,20.90,0.90,0.00,1.27,3.52,0.62,0.00
2023-11-01 02:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,25.76,20.38,0.72,0.00,1.46,10.79,0.24,0.07
2023-11-01 03:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,27.57,20.70,0.66,0.00,1.54,34.79,0.34,0.17
2023-11-01 04:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,27.84,20.67,0.65,0.00,1.44,31.35,0.40,0.03
2023-11-01 05:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,29.98,19.54,0.54,0.00,1.17,26.93,0.25,0.00
2023-11-01 06:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,30.33,19.49,0.52,0.00,0.87,32.14,0.32,0.00
2023-11-01 07:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,30.23,19.21,0.52,0.00,0.55,47.52,0.35,0.00
2023-11-01 08:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,29.85,19.11,0.53,0.00,0.42,89.26,0.53,0.00
2023-11-01 09:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,30.23,18.56,0.50,0.00,0.62,127.51,0.46,0.00
2023-11-01 10:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,26.37,21.42,0.74,0.00,1.10,185.11,0.39,0.00
2023-11-01 11:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,26.26,20.64,0.71,0.00,1.63,179.25,0.29,0.00
2023-11-01 12:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,26.01,20.37,0.71,0.00,2.03,167.64,0.31,0.00
2023-11-01 13:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,26.28,20.29,0.70,0.00,2.65,159.37,0.24,0.00
2023-11-01 14:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,25.03,20.89,0.78,0.00,2.68,158.76,0.12,0.00
2023-11-01 15:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,23.62,21.26,0.87,0.00,2.23,161.93,0.02,0.00
2023-11-01 16:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,23.27,21.52,0.90,0.00,2.01,163.01,0.01,0.00
2023-11-01 17:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,22.40,21.51,0.95,0.00,1.64,158.61,0.03,0.00
2023-11-01 18:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,22.04,21.35,0.96,0.00,1.48,155.89,0.02,0.00
2023-11-01 19:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,22.02,21.27,0.95,0.00,1.42,147.98,0.06,0.00
2023-11-01 20:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,21.36,21.04,0.98,0.00,1.53,133.86,0.34,0.00
2023-11-01 21:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,21.22,20.95,0.98,0.00,1.39,120.66,0.30,0.00
2023-11-01 22:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,21.23,20.82,0.98,0.00,1.36,107.24,0.73,0.00
2023-11-01 23:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,21.50,21.02,0.97,0.00,0.78,80.69,0.93,0.00
2023-11-02 00:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,21.42,20.79,0.96,0.00,0.87,60.94,0.98,0.00
2023-11-02 01:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,21.17,20.86,0.98,0.00,0.82,74.76,0.83,0.00
2023-11-02 02:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,24.89,21.80,0.83,0.00,0.53,110.35,0.68,0.00
2023-11-02 03:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,27.01,21.87,0.73,0.00,0.73,154.60,0.50,0.00
2023-11-02 04:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,27.42,21.16,0.69,0.00,1.06,164.68,0.43,0.00
2023-11-02 05:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,29.72,20.24,0.57,0.00,1.48,169.43,0.51,0.00
2023-11-02 06:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,30.09,19.81,0.54,0.00,1.98,174.69,0.76,0.00
2023-11-02 07:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,30.03,19.87,0.54,0.00,2.14,173.39,0.92,0.00
2023-11-02 08:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,29.93,20.14,0.56,0.00,2.12,171.85,0.95,0.00
2023-11-02 09:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,30.15,19.84,0.54,0.00,1.80,163.88,0.78,0.00
2023-11-02 10:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,26.72,21.51,0.73,0.00,1.49,158.49,0.69,0.00
2023-11-02 11:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,26.46,21.03,0.72,0.00,2.37,145.05,0.26,0.00
2023-11-02 12:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,26.53,21.12,0.72,0.00,3.12,144.17,0.07,0.00
2023-11-02 13:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,26.36,21.60,0.75,0.00,3.25,147.16,0.02,0.00
2023-11-02 14:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,25.36,22.18,0.83,0.00,2.98,151.27,0.02,0.00
2023-11-02 15:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,24.52,22.71,0.90,0.00,2.57,154.70,0.00,0.00
2023-11-02 16:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,24.40,22.84,0.91,0.00,2.32,157.05,0.00,0.00
2023-11-02 17:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,23.84,22.79,0.94,0.00,2.09,155.67,0.03,0.00
2023-11-02 18:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,23.86,22.82,0.94,0.00,1.89,149.28,0.14,0.00
2023-11-02 19:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,23.71,22.74,0.94,0.00,1.65,138.66,0.20,0.00
2023-11-02 20:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,23.28,22.53,0.96,0.00,1.47,128.27,0.52,0.00
2023-11-02 21:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,23.00,22.50,0.97,0.00,1.28,118.61,0.54,0.00
2023-11-02 22:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,23.52,22.92,0.96,0.00,1.24,114.94,0.70,0.00
2023-11-02 23:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,23.38,22.78,0.96,0.00,1.02,123.92,0.55,0.00
2023-11-03 00:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,23.77,22.75,0.94,0.00,1.13,122.25,0.62,0.00
2023-11-03 01:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,23.84,22.62,0.93,0.00,1.60,137.82,0.39,0.03
2023-11-03 02:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,26.93,22.84,0.78,0.00,2.08,163.02,0.39,0.03
2023-11-03 03:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,28.13,22.75,0.73,0.00,2.46,184.90,0.51,0.03
2023-11-03 04:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,28.33,22.38,0.70,0.00,2.61,191.72,0.52,0.00
2023-11-03 05:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,30.62,22.07,0.60,0.00,2.66,187.90,0.50,0.00
2023-11-03 06:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,31.28,21.76,0.57,0.00,2.65,186.99,0.55,0.00
2023-11-03 07:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,31.19,21.80,0.57,0.00,2.54,188.60,0.88,0.00
2023-11-03 08:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,30.95,22.08,0.59,0.00,2.11,180.91,0.90,0.00
2023-11-03 09:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,31.26,21.86,0.57,0.00,1.84,145.91,0.61,0.00
2023-11-03 10:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,28.48,22.87,0.72,0.00,2.33,140.79,0.15,0.00
2023-11-03 11:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,27.90,23.22,0.76,0.00,3.28,141.68,0.23,0.00
2023-11-03 12:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,27.70,23.52,0.78,0.00,3.78,145.01,0.18,0.00
2023-11-03 13:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,27.36,23.87,0.81,0.00,3.38,148.67,0.23,0.00
2023-11-03 14:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,26.56,24.08,0.86,0.00,2.79,147.78,0.25,0.00
2023-11-03 15:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,25.87,24.02,0.90,0.00,2.48,143.99,0.23,0.00
2023-11-03 16:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,25.84,24.06,0.90,0.00,2.53,143.15,0.18,0.00
2023-11-03 17:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,25.43,24.03,0.92,0.00,2.53,141.53,0.13,0.00
2023-11-03 18:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,25.13,23.98,0.93,0.00,2.41,140.68,0.29,0.00
2023-11-03 19:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,25.09,23.96,0.93,0.00,2.21,139.56,0.27,0.00
2023-11-03 20:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,24.91,23.97,0.95,0.00,2.28,137.15,0.30,0.00
2023-11-03 21:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,25.04,23.97,0.94,0.00,2.40,139.94,0.75,0.08
2023-11-03 22:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,25.27,24.11,0.93,0.00,2.11,134.46,0.68,0.02
2023-11-03 23:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,25.59,24.12,0.92,0.00,2.09,133.97,0.79,0.08
2023-11-04 00:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,25.49,24.20,0.93,0.00,2.21,140.81,0.50,0.07
2023-11-04 01:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,25.44,24.18,0.93,0.00,2.40,157.04,0.46,0.08
2023-11-04 02:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,27.91,24.15,0.80,0.00,3.15,172.95,0.44,0.17
2023-11-04 03:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,29.31,24.55,0.76,0.00,2.83,170.56,0.37,0.07
2023-11-04 04:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,29.50,24.59,0.75,0.00,2.78,162.83,0.56,0.03
2023-11-04 05:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,31.20,25.30,0.71,0.00,2.88,159.04,0.53,0.07
2023-11-04 06:00:00,"(21.001367, 105.802466)",era5,16.18,7.00,31.33,24.84,0.68,0.00,2.97,158.18,0.43,0.13
