datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),dewpoint_temperature (degC),relative_humidity (0-1),heating_degreeday (degC-Day),wind_speed (m/s),wind_direction (deg),total_cloud_cover (0-1),total_precipitation (mm of water equivalent)
2023-11-01 00:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.81,23.97,0.80,0.00,7.18,36.09,0.23,0.01
2023-11-01 01:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.72,23.86,0.80,0.00,7.10,42.14,0.17,0.00
2023-11-01 02:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.79,23.79,0.79,0.00,7.05,45.75,0.23,0.00
2023-11-01 03:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,28.04,23.80,0.78,0.00,6.71,48.15,0.23,0.00
2023-11-01 04:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,28.47,23.81,0.76,0.00,6.03,51.02,0.07,0.00
2023-11-01 05:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,28.72,23.89,0.75,0.00,5.19,52.56,0.05,0.00
2023-11-01 06:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,28.93,24.06,0.75,0.00,4.36,59.40,0.10,0.01
2023-11-01 07:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,29.06,24.21,0.75,0.00,3.34,67.41,0.12,0.01
2023-11-01 08:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,28.53,24.26,0.78,0.00,2.15,92.81,0.36,0.00
2023-11-01 09:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,28.05,24.62,0.82,0.00,1.66,104.85,0.47,0.01
2023-11-01 10:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,28.16,24.65,0.81,0.00,4.22,86.03,0.84,0.84
2023-11-01 11:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,26.80,24.61,0.88,0.00,5.17,89.43,0.95,2.44
2023-11-01 12:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,26.99,24.47,0.86,0.00,4.10,64.47,0.97,1.37
2023-11-01 13:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.39,24.37,0.84,0.00,4.38,46.29,0.95,0.32
2023-11-01 14:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.72,24.39,0.82,0.00,4.78,48.91,0.98,0.11
2023-11-01 15:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.71,24.48,0.83,0.00,5.42,48.78,0.99,0.13
2023-11-01 16:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.49,24.49,0.84,0.00,5.23,48.93,0.98,0.36
2023-11-01 17:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.54,24.47,0.83,0.00,4.98,49.52,0.97,0.13
2023-11-01 18:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.52,24.43,0.83,0.00,5.14,43.57,0.98,0.14
2023-11-01 19:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.41,24.29,0.83,0.00,5.51,37.60,0.96,0.23
2023-11-01 20:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.42,24.26,0.83,0.00,5.28,39.35,0.98,0.28
2023-11-01 21:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.34,24.22,0.83,0.00,5.11,49.32,0.99,0.58
2023-11-01 22:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.11,24.01,0.83,0.00,4.95,44.73,0.74,0.27
2023-11-01 23:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.12,24.12,0.84,0.00,5.67,48.73,0.52,0.16
2023-11-02 00:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.03,24.12,0.84,0.00,6.18,51.01,0.47,0.13
2023-11-02 01:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.01,24.10,0.84,0.00,6.01,46.70,0.35,0.17
2023-11-02 02:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.04,24.22,0.85,0.00,5.30,44.91,0.63,0.29
2023-11-02 03:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.30,24.25,0.83,0.00,4.62,37.36,0.80,0.10
2023-11-02 04:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.57,24.15,0.82,0.00,4.23,42.98,0.81,0.06
2023-11-02 05:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.85,23.91,0.79,0.00,3.93,46.79,0.53,0.06
2023-11-02 06:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,28.15,23.84,0.77,0.00,2.91,58.87,0.12,0.00
2023-11-02 07:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,28.25,23.86,0.77,0.00,1.70,44.32,0.52,0.04
2023-11-02 08:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,28.26,23.87,0.77,0.00,1.27,231.25,0.49,0.00
2023-11-02 09:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,28.50,23.86,0.76,0.00,2.36,281.29,0.68,0.00
2023-11-02 10:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,28.99,23.49,0.72,0.00,3.36,322.68,0.67,0.00
2023-11-02 11:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,28.90,23.71,0.74,0.00,2.74,326.80,0.71,0.00
2023-11-02 12:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,28.86,24.04,0.75,0.00,3.64,340.20,0.94,0.00
2023-11-02 13:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,28.54,24.17,0.77,0.00,2.60,342.98,0.92,0.10
2023-11-02 14:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.69,24.31,0.82,0.00,1.88,358.27,0.88,0.70
2023-11-02 15:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,26.84,24.30,0.86,0.00,0.83,31.81,0.88,1.16
2023-11-02 16:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.33,24.32,0.84,0.00,0.50,125.46,0.94,0.07
2023-11-02 17:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.51,24.42,0.83,0.00,0.73,125.69,0.99,0.00
2023-11-02 18:00:00,"(10.1677402, 103.9952922)",era5,13.41,7.00,27.54,24.45,0.83,0.00,0.80,70.56,0.99,0.00
