datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),dewpoint_temperature (degC),relative_humidity (0-1),heating_degreeday (degC-Day),wind_speed (m/s),wind_direction (deg),total_cloud_cover (0-1),total_precipitation (mm of water equivalent)
2023-11-01 00:00:00,"(10.776384, 106.7028075)",era5,10.55,7.00,26.00,25.31,0.96,0.00,1.30,13.64,0.66,0.00
2023-11-01 01:00:00,"(10.776384, 106.7028075)",era5,10.55,7.00,27.07,25.53,0.91,0.00,0.85,40.10,0.40,0.00
2023-11-01 02:00:00,"(10.776384, 106.7028075)",era5,10.55,7.00,29.13,25.81,0.82,0.00,0.49,74.92,0.21,0.00
2023-11-01 03:00:00,"(10.776384, 106.7028075)",era5,10.55,7.00,30.25,25.32,0.75,0.00,0.63,118.72,0.14,0.08
2023-11-01 04:00:00,"(10.776384, 106.7028075)",era5,10.55,7.00,30.91,25.26,0.72,0.00,1.09,111.24,0.32,0.08
2023-11-01 05:00:00,"(10.776384, 106.7028075)",era5,10.55,7.00,32.02,25.68,0.69,0.00,1.22,104.76,0.18,0.05
2023-11-01 06:00:00,"(10.776384, 106.7028075)",era5,10.55,7.00,32.59,25.00,0.64,0.00,1.08,108.81,0.22,1.12
2023-11-01 07:00:00,"(10.776384, 106.7028075)",era5,10.55,7.00,30.79,25.29,0.73,0.00,1.09,110.45,0.40,0.02
2023-11-01 08:00:00,"(10.776384, 106.7028075)",era5,10.55,7.00,30.53,24.98,0.72,0.00,1.49,109.18,0.32,0.28
2023-11-01 09:00:00,"(10.776384, 106.7028075)",era5,10.55,7.00,30.01,24.94,0.74,0.00,2.59,101.96,0.77,2.03
2023-11-01 10:00:00,"(10.776384, 106.7028075)",era5,10.55,7.00,29.42,25.04,0.77,0.00,1.32,77.77,0.88,0.19
2023-11-01 11:00:00,"(10.776384, 106.7028075)",era5,10.55,7.00,28.66,25.47,0.83,0.00,0.95,52.41,0.92,0.15
2023-11-01 12:00:00,"(10.776384, 106.7028075)",era5,10.55,7.00,27.89,25.37,0.86,0.00,0.96,37.05,0.89,0.24
2023-11-01 13:00:00,"(10.776384, 106.7028075)",era5,10.55,7.00,27.49,25.48,0.89,0.00,1.12,27.00,0.95,0.25
