,datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),dewpoint_temperature (degC),relative_humidity (0-1),heating_degreeday (degC-Day),wind_speed (m/s),wind_direction (deg),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),departure_itacode
0,2023-11-01 00:00:00,"(10.036422, 105.787522)",era5,1.66,7.0,27.08,25.59,0.92,0.0,1.89,356.28,0.12,0.0,dad
1,2023-11-01 01:00:00,"(10.036422, 105.787522)",era5,1.66,7.0,27.68,25.69,0.89,0.0,1.79,6.18,0.18,0.0,dad
2,2023-11-01 02:00:00,"(10.036422, 105.787522)",era5,1.66,7.0,29.8,25.78,0.79,0.0,1.82,33.79,0.15,0.08,dad
3,2023-11-01 03:00:00,"(10.036422, 105.787522)",era5,1.66,7.0,30.19,25.26,0.75,0.0,2.99,73.57,0.2,0.18,dad
4,2023-11-01 04:00:00,"(10.036422, 105.787522)",era5,1.66,7.0,30.55,25.47,0.74,0.0,3.7,83.65,0.42,0.06,dad
5,2023-11-01 05:00:00,"(10.036422, 105.787522)",era5,1.66,7.0,30.44,25.53,0.75,0.0,3.35,84.57,0.23,1.3,dad
6,2023-11-01 06:00:00,"(10.036422, 105.787522)",era5,1.66,7.0,29.78,25.44,0.78,0.0,3.28,81.28,0.39,3.71,dad
7,2023-11-01 07:00:00,"(10.036422, 105.787522)",era5,1.66,7.0,29.9,25.88,0.79,0.0,3.42,96.39,0.69,3.52,dad
8,2023-11-01 08:00:00,"(10.036422, 105.787522)",era5,1.66,7.0,29.6,25.61,0.79,0.0,3.05,112.17,0.9,0.63,dad
9,2023-11-01 09:00:00,"(10.036422, 105.787522)",era5,1.66,7.0,29.72,25.37,0.77,0.0,2.28,129.51,0.86,0.0,dad
10,2023-11-01 10:00:00,"(10.036422, 105.787522)",era5,1.66,7.0,28.93,25.07,0.8,0.0,2.29,131.22,0.96,0.08,dad
11,2023-11-01 11:00:00,"(10.036422, 105.787522)",era5,1.66,7.0,27.72,25.16,0.86,0.0,2.15,120.99,0.94,0.01,dad
12,2023-11-01 12:00:00,"(10.036422, 105.787522)",era5,1.66,7.0,27.14,25.14,0.89,0.0,1.91,122.22,0.94,0.0,dad
13,2023-11-01 13:00:00,"(10.036422, 105.787522)",era5,1.66,7.0,27.22,25.23,0.89,0.0,1.25,92.89,0.96,0.0,dad
14,2023-11-01 14:00:00,"(10.036422, 105.787522)",era5,1.66,7.0,26.62,25.21,0.92,0.0,1.23,42.32,0.94,0.32,dad
15,2023-11-01 15:00:00,"(10.036422, 105.787522)",era5,1.66,7.0,26.64,25.2,0.92,0.0,1.25,32.92,0.92,0.14,dad
16,2023-11-01 16:00:00,"(10.036422, 105.787522)",era5,1.66,7.0,26.4,25.25,0.93,0.0,1.28,12.27,0.92,0.0,dad
17,2023-11-01 17:00:00,"(10.036422, 105.787522)",era5,1.66,7.0,26.11,25.32,0.95,0.0,1.11,355.1,0.98,0.0,dad
18,2023-11-01 18:00:00,"(10.036422, 105.787522)",era5,1.66,7.0,26.32,25.42,0.95,0.0,1.21,353.46,0.97,0.0,dad
