type,status,departure.iataCode,departure.icaoCode,departure.terminal,departure.delay,departure.scheduledTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.delay,departure.estimatedTime,departure.gate,error
arrival,landed,han,vvnb,t1,13.0,2023-11-01t06:35:00.000,2023-11-01t06:48:00.000,2023-11-01t06:48:00.000,2023-11-01t06:48:00.000,vca,vvct,2023-11-01t08:55:00.000,2023-11-01t08:41:00.000,2023-11-01t08:41:00.000,2023-11-01t08:41:00.000,2023-11-01t08:41:00.000,vietnam airlines,vn,hvn,1201,vn1201,hvn1201,,,,,,,,,,
arrival,unknown,vii,vvvh,,,2023-11-01t08:50:00.000,,,,vca,vvct,2023-11-01t10:40:00.000,,,,,,a1,a1,2481,a12481,a12481,vietjet air,vj,vjc,481,vj481,vjc481,,,,
arrival,unknown,vii,vvvh,,,2023-11-01t08:50:00.000,,,,vca,vvct,2023-11-01t10:40:00.000,,,,,flexflight,w2,fxt,4481,w24481,fxt4481,vietjet air,vj,vjc,481,vj481,vjc481,,,,
arrival,unknown,vii,vvvh,,,2023-11-01t08:50:00.000,,,,vca,vvct,2023-11-01t10:40:00.000,,,,,,h1,h1,4333,h14333,h14333,vietjet air,vj,vjc,481,vj481,vjc481,,,,
arrival,unknown,vii,vvvh,,,2023-11-01t08:50:00.000,,,,vca,vvct,2023-11-01t10:40:00.000,,,,,vietjet air,vj,vjc,481,vj481,vjc481,,,,,,,,,,
arrival,landed,han,vvnb,t1,11.0,2023-11-01t08:45:00.000,2023-11-01t08:55:00.000,2023-11-01t08:55:00.000,2023-11-01t08:55:00.000,vca,vvct,2023-11-01t10:50:00.000,2023-11-01t10:46:00.000,2023-11-01t10:51:00.000,2023-11-01t10:51:00.000,2023-11-01t10:51:00.000,,a1,a1,2461,a12461,a12461,vietjet air,vj,vjc,461,vj461,vjc461,2.0,,,
arrival,landed,han,vvnb,t1,11.0,2023-11-01t08:45:00.000,2023-11-01t08:55:00.000,2023-11-01t08:55:00.000,2023-11-01t08:55:00.000,vca,vvct,2023-11-01t10:50:00.000,2023-11-01t10:46:00.000,2023-11-01t10:51:00.000,2023-11-01t10:51:00.000,2023-11-01t10:51:00.000,flexflight,w2,fxt,4461,w24461,fxt4461,vietjet air,vj,vjc,461,vj461,vjc461,2.0,,,
arrival,landed,han,vvnb,t1,11.0,2023-11-01t08:45:00.000,2023-11-01t08:55:00.000,2023-11-01t08:55:00.000,2023-11-01t08:55:00.000,vca,vvct,2023-11-01t10:50:00.000,2023-11-01t10:46:00.000,2023-11-01t10:51:00.000,2023-11-01t10:51:00.000,2023-11-01t10:51:00.000,,h1,h1,4331,h14331,h14331,vietjet air,vj,vjc,461,vj461,vjc461,2.0,,,
arrival,landed,han,vvnb,t1,11.0,2023-11-01t08:45:00.000,2023-11-01t08:55:00.000,2023-11-01t08:55:00.000,2023-11-01t08:55:00.000,vca,vvct,2023-11-01t10:50:00.000,2023-11-01t10:46:00.000,2023-11-01t10:51:00.000,2023-11-01t10:51:00.000,2023-11-01t10:51:00.000,vietjet air,vj,vjc,461,vj461,vjc461,,,,,,,2.0,,,
arrival,unknown,pqc,vvpq,,,2023-11-01t11:10:00.000,,,,vca,vvct,2023-11-01t12:00:00.000,,,,,bamboo airways,qh,bav,2182,qh2182,bav2182,,,,,,,,,,
arrival,landed,dad,vvdn,1,1.0,2023-11-01t11:00:00.000,2023-11-01t11:01:00.000,2023-11-01t11:01:00.000,2023-11-01t11:01:00.000,vca,vvct,2023-11-01t12:40:00.000,2023-11-01t12:12:00.000,2023-11-01t12:13:00.000,2023-11-01t12:13:00.000,2023-11-01t12:13:00.000,vietnam airlines,vn,hvn,1441,vn1441,hvn1441,,,,,,,,,,
arrival,landed,han,vvnb,t1,15.0,2023-11-01t11:15:00.000,2023-11-01t11:30:00.000,2023-11-01t11:30:00.000,2023-11-01t11:30:00.000,vca,vvct,2023-11-01t13:30:00.000,2023-11-01t13:20:00.000,2023-11-01t13:20:00.000,2023-11-01t13:20:00.000,2023-11-01t13:20:00.000,vietnam airlines,vn,hvn,1203,vn1203,hvn1203,,,,,,,,2023-11-01t11:12:00.000,,
arrival,landed,vcs,vvcs,,,2023-11-01t12:50:00.000,2023-11-01t12:45:00.000,2023-11-01t12:45:00.000,2023-11-01t12:45:00.000,vca,vvct,2023-11-01t13:50:00.000,2023-11-01t13:19:00.000,2023-11-01t13:30:00.000,2023-11-01t13:30:00.000,2023-11-01t13:30:00.000,vasco,0v,vfc,8071,0v8071,vfc8071,,,,,,,,,,
arrival,landed,dad,vvdn,1,9.0,2023-11-01t13:45:00.000,2023-11-01t13:54:00.000,2023-11-01t13:54:00.000,2023-11-01t13:54:00.000,vca,vvct,2023-11-01t15:15:00.000,2023-11-01t15:06:00.000,2023-11-01t15:07:00.000,2023-11-01t15:07:00.000,2023-11-01t15:07:00.000,,a1,a1,2703,a12703,a12703,vietjet air,vj,vjc,703,vj703,vjc703,,,,
