type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.delay,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay,departure.estimatedTime,arrival.baggage,arrival.gate,error
departure,active,vca,vvct,2023-11-01t10:00:00.000,2023-11-01t09:58:00.000,2023-11-01t09:58:00.000,2023-11-01t09:58:00.000,han,vvnb,t1,2023-11-01t12:20:00.000,2023-11-01t11:50:00.000,vietnam airlines,vn,hvn,1200,vn1200,hvn1200,,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-01t11:35:00.000,2023-11-01t11:41:00.000,2023-11-01t11:41:00.000,2023-11-01t11:41:00.000,dad,vvdn,1,2023-11-01t13:05:00.000,2023-11-01t12:49:00.000,,a1,a1,2702,a12702,a12702,6.0,vietjet air,vj,vjc,702,vj702,vjc702,,,,,,,,
departure,active,vca,vvct,2023-11-01t11:35:00.000,2023-11-01t11:41:00.000,2023-11-01t11:41:00.000,2023-11-01t11:41:00.000,dad,vvdn,1,2023-11-01t13:05:00.000,2023-11-01t12:49:00.000,flexflight,w2,fxt,4702,w24702,fxt4702,6.0,vietjet air,vj,vjc,702,vj702,vjc702,,,,,,,,
departure,active,vca,vvct,2023-11-01t11:35:00.000,2023-11-01t11:41:00.000,2023-11-01t11:41:00.000,2023-11-01t11:41:00.000,dad,vvdn,1,2023-11-01t13:05:00.000,2023-11-01t12:49:00.000,,h1,h1,4348,h14348,h14348,6.0,vietjet air,vj,vjc,702,vj702,vjc702,,,,,,,,
departure,active,vca,vvct,2023-11-01t11:35:00.000,2023-11-01t11:41:00.000,2023-11-01t11:41:00.000,2023-11-01t11:41:00.000,dad,vvdn,1,2023-11-01t13:05:00.000,2023-11-01t12:49:00.000,vietjet air,vj,vjc,702,vj702,vjc702,6.0,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-01t12:35:00.000,,,,pqc,vvpq,,2023-11-01t13:25:00.000,,bamboo airways,qh,bav,2181,qh2181,bav2181,,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-01t13:20:00.000,2023-11-01t13:14:00.000,2023-11-01t13:14:00.000,2023-11-01t13:14:00.000,dad,vvdn,1,2023-11-01t14:50:00.000,2023-11-01t14:23:00.000,vietnam airlines,vn,hvn,1440,vn1440,hvn1440,,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-01t14:15:00.000,2023-11-01t14:30:00.000,2023-11-01t14:30:00.000,2023-11-01t14:30:00.000,han,vvnb,t1,2023-11-01t16:20:00.000,2023-11-01t16:18:00.000,vietnam airlines,vn,hvn,1202,vn1202,hvn1202,16.0,,,,,,,,,,,,,,
departure,active,vca,vvct,2023-11-01t14:20:00.000,2023-11-01t14:19:00.000,2023-11-01t14:19:00.000,2023-11-01t14:19:00.000,vcs,vvcs,,2023-11-01t15:20:00.000,,vasco,0v,vfc,8070,0v8070,vfc8070,,,,,,,,2023-11-01t14:53:00.000,2023-11-01t14:53:00.000,2023-11-01t14:53:00.000,,,,,
departure,active,vca,vvct,2023-11-01t14:30:00.000,,,,tpe,rctp,1,2023-11-01t18:55:00.000,,,h1,h1,5181,h15181,h15181,,vietjet air,vj,vjc,866,vj866,vjc866,,,,,,,,
